Favorite,Id,Coin,Buy,Price,1h,24h,7d,30d,Volume in 24h,MarketCapitalization,FDV,FDVCapitalization,VariationGraph
,1.0,Bitcoin  BTC,Comprar,R$ 479.748,0.0%,7.2%,1.5%,0.4%,R$ 408.684.609.795,R$ 9.528.698.851.334,R$ 9.528.707.972.332,10.0,
,2.0,Ethereum  ETH,Comprar,"R$ 9.376,02",0.6%,9.8%,10.9%,16.2%,R$ 194.198.101.589,R$ 1.132.799.870.260,R$ 1.132.799.870.260,10.0,
,3.0,Tether  USDT,Comprar,"R$ 5,86",0.0%,0.0%,0.0%,0.0%,R$ 242.528.640.454,R$ 845.863.315.289,R$ 845.863.315.289,10.0,
,4.0,XRP  XRP,Comprar,"R$ 11,82",1.2%,12.4%,0.8%,6.3%,R$ 37.164.664.848,R$ 689.235.146.908,R$ 1.182.566.911.575,58.0,
,5.0,BNB  BNB,Comprar,"R$ 3.387,77",0.3%,4.7%,2.6%,5.5%,R$ 7.570.761.771,R$ 494.022.865.999,R$ 494.022.865.999,10.0,
,6.0,USDC  USDC,Comprar,"R$ 5,86",0.0%,0.0%,0.0%,0.0%,R$ 113.653.570.415,R$ 351.393.480.975,R$ 351.394.366.744,10.0,
,7.0,Solana  SOL,Comprar,"R$ 672,73",0.7%,10.5%,0.8%,7.8%,R$ 41.272.456.864,R$ 347.266.551.569,R$ 402.842.154.737,86.0,
,8.0,Dogecoin  DOGE,Comprar,"R$ 0,9184",0.5%,8.6%,2.2%,2.9%,R$ 11.155.233.820,R$ 136.734.041.440,R$ 136.743.553.186,10.0,
,9.0,TRON  TRX,Comprar,"R$ 1,41",0.3%,5.8%,3.9%,5.3%,R$ 6.239.116.955,R$ 133.987.464.267,R$ 133.987.484.936,10.0,
,10.0,Cardano  ADA,Comprar,"R$ 3,66",0.8%,11.7%,2.8%,14.5%,R$ 7.693.424.232,R$ 131.777.132.387,R$ 164.704.630.807,8.0,
,11.0,Lido Staked Ether  STETH,Comprar,"R$ 9.378,02",0.7%,10.4%,10.5%,15.9%,R$ 533.966.466,R$ 87.794.825.737,R$ 87.794.825.737,10.0,
,12.0,Wrapped Bitcoin  WBTC,Comprar,R$ 480.019,0.4%,7.4%,1.2%,0.5%,R$ 3.111.410.714,R$ 61.814.092.163,R$ 61.814.092.163,10.0,
,13.0,LEO Token  LEO,,"R$ 55,18",0.1%,2.7%,0.1%,3.2%,R$ 32.993.357,R$ 50.971.171.390,R$ 54.364.995.166,94.0,
,14.0,Chainlink  LINK,Comprar,"R$ 72,92",0.9%,11.5%,2.8%,4.4%,R$ 4.217.580.044,R$ 46.576.994.920,R$ 72.993.256.548,64.0,
,15.0,USDS  USDS,,"R$ 5,86",0.0%,0.0%,0.0%,0.0%,R$ 134.469.543,R$ 44.742.555.307,R$ 44.742.555.307,10.0,
,16.0,Avalanche  AVAX,Comprar,"R$ 106,72",1.3%,12.5%,0.7%,5.0%,R$ 3.029.062.952,R$ 44.371.248.597,R$ 48.285.061.146,92.0,
,17.0,Toncoin  TON,Comprar,"R$ 17,65",1.1%,1.6%,18.4%,14.3%,R$ 1.663.468.671,R$ 43.705.119.806,R$ 90.476.712.109,48.0,
,18.0,Hedera  HBAR,Comprar,"R$ 1,02",2.2%,17.8%,9.5%,13.4%,R$ 3.411.680.676,R$ 43.246.232.926,R$ 51.204.847.102,84.0,
,19.0,Stellar  XLM,Comprar,"R$ 1,38",0.6%,8.4%,8.8%,7.7%,R$ 1.492.853.380,R$ 42.408.617.329,R$ 68.884.998.297,62.0,
,20.0,Shiba Inu  SHIB,Comprar,"R$ 0,00007041",1.0%,10.7%,0.5%,2.6%,R$ 1.769.771.720,R$ 41.489.158.530,R$ 41.507.045.465,10.0,
,21.0,Sui  SUI,,"R$ 12,73",1.6%,14.1%,3.0%,0.9%,R$ 10.553.568.943,R$ 41.442.334.652,R$ 127.515.546.762,32.0,
,22.0,Wrapped stETH  WSTETH,,"R$ 11.285,24",1.2%,10.7%,10.4%,16.0%,R$ 325.071.994,R$ 40.160.636.874,R$ 40.160.636.874,10.0,
,23.0,MANTRA  OM,,"R$ 39,17",0.0%,8.1%,5.7%,7.1%,R$ 1.262.677.365,R$ 37.759.763.200,R$ 71.167.690.160,53.0,
,24.0,Bitcoin Cash  BCH,Comprar,"R$ 1.735,29",0.9%,9.8%,2.0%,11.8%,R$ 1.543.295.203,R$ 34.490.804.938,R$ 34.490.913.514,10.0,
,25.0,Litecoin  LTC,Comprar,"R$ 433,62",0.6%,5.2%,10.3%,16.9%,R$ 3.394.671.629,R$ 32.866.473.862,R$ 32.867.119.437,10.0,
,26.0,Polkadot  DOT,Comprar,"R$ 20,67",1.3%,4.5%,10.6%,11.7%,R$ 1.899.194.780,R$ 31.500.123.900,R$ 31.500.123.900,10.0,
,27.0,Binance Bridged USDT (BNB Smart Chain)  BSC-USD,,"R$ 5,86",0.1%,0.2%,0.1%,0.3%,R$ 1.918.106.862,R$ 30.399.318.558,R$ 30.399.318.558,10.0,
,28.0,Bitget Token  BGB,,"R$ 25,20",0.3%,6.8%,5.0%,2.9%,R$ 1.938.537.153,R$ 30.245.988.300,R$ 30.245.988.300,10.0,
,29.0,Ethena USDe  USDE,,"R$ 5,86",0.0%,0.1%,0.0%,0.0%,R$ 433.920.451,R$ 29.729.166.869,R$ 29.609.338.091,10.0,
,30.0,Hyperliquid  HYPE,,"R$ 82,04",0.3%,15.4%,24.2%,2.4%,R$ 1.381.485.637,R$ 27.949.114.537,R$ 83.697.176.961,33.0,
,31.0,WETH  WETH,,"R$ 9.429,93",1.3%,10.7%,10.3%,15.9%,R$ 2.142.866.317,R$ 26.052.298.132,R$ 26.052.298.132,10.0,
,32.0,Pi Network  PI,,"R$ 3,50",0.4%,6.2%,2.0%,56.9%,R$ 1.766.987.685,R$ 23.975.808.917,R$ 36.885.859.872,65.0,
,33.0,WhiteBIT Coin  WBT,,"R$ 163,79",0.1%,0.2%,0.4%,2.1%,R$ 358.006.288,R$ 23.578.372.251,R$ 53.598.328.300,44.0,
,34.0,Monero  XMR,,"R$ 1.191,23",0.9%,4.3%,5.6%,0.9%,R$ 368.018.044,R$ 22.014.033.988,R$ 22.014.033.988,10.0,
,35.0,Wrapped eETH  WEETH,,"R$ 10.024,49",1.2%,10.5%,10.3%,15.8%,R$ 95.463.159,R$ 21.023.652.463,R$ 21.023.652.463,10.0,
,36.0,OKB  OKB,Comprar,"R$ 312,67",0.1%,3.9%,14.7%,29.8%,R$ 140.645.034,R$ 18.738.882.451,R$ 73.693.055.472,25.0,
,37.0,Dai  DAI,Comprar,"R$ 5,86",0.0%,0.0%,0.0%,0.0%,R$ 877.625.097,R$ 18.513.097.882,R$ 18.509.983.678,10.0,
,38.0,Uniswap  UNI,Comprar,"R$ 30,47",0.8%,9.6%,11.3%,13.3%,R$ 1.268.742.357,R$ 18.320.196.204,R$ 30.509.096.768,6.0,
,39.0,sUSDS  SUSDS,,"R$ 6,14",0.2%,0.0%,0.1%,0.6%,R$ 13.035.099,R$ 17.452.281.300,R$ 17.454.749.975,10.0,
,40.0,Pepe  PEPE,Comprar,"R$ 0,00003975",0.9%,7.9%,0.8%,14.1%,R$ 5.616.830.903,R$ 16.741.193.128,R$ 16.741.193.128,10.0,
,41.0,Coinbase Wrapped BTC  CBBTC,,R$ 480.046,0.1%,6.8%,1.4%,0.3%,R$ 2.683.624.686,R$ 16.682.261.611,R$ 16.641.946.373,10.0,
,42.0,Aptos  APT,Comprar,"R$ 26,90",1.0%,7.8%,10.6%,16.8%,R$ 1.108.242.864,R$ 16.290.017.746,R$ 30.876.979.973,53.0,
,43.0,Gate  GT,,"R$ 129,09",0.0%,5.6%,1.0%,11.4%,R$ 131.947.153,R$ 15.875.575.192,R$ 38.749.082.924,41.0,
,44.0,Ondo  ONDO,,"R$ 4,99",1.6%,17.6%,7.5%,3.9%,R$ 2.469.175.332,R$ 15.773.427.378,R$ 49.930.011.033,32.0,
,45.0,Tokenize Xchange  TKX,,"R$ 187,24",0.2%,14.6%,6.9%,18.8%,R$ 67.342.756,R$ 14.978.466.290,R$ 18.724.019.286,8.0,
,46.0,NEAR Protocol  NEAR,Comprar,"R$ 12,07",1.0%,10.6%,13.3%,16.7%,R$ 2.005.676.766,R$ 14.495.401.113,R$ 15.023.154.311,96.0,
,47.0,Internet Computer  ICP,Comprar,"R$ 29,15",1.1%,8.2%,1.1%,5.8%,R$ 515.382.232,R$ 14.100.255.763,R$ 15.526.794.719,91.0,
,48.0,Cronos  CRO,Comprar,"R$ 0,5124",0.7%,8.4%,7.9%,6.8%,R$ 205.002.209,R$ 14.082.345.407,R$ 49.996.515.508,28.0,
,49.0,Mantle  MNT,Comprar,"R$ 4,05",0.3%,4.5%,8.1%,1.8%,R$ 2.037.628.632,R$ 13.637.630.842,R$ 25.207.860.474,54.0,
,50.0,Ethereum Classic  ETC,Comprar,"R$ 86,84",0.8%,6.0%,6.9%,14.8%,R$ 595.707.149,R$ 13.150.633.194,R$ 13.150.682.059,10.0,
,51.0,BlackRock USD Institutional Digital Liquidity Fund  BUIDL,,"R$ 5,86",0.0%,0.0%,0.0%,0.0%,"$0,00",R$ 12.698.246.830,R$ 12.698.246.830,10.0,
,52.0,Ethena Staked USDe  SUSDE,,"R$ 6,82",0.0%,0.0%,0.2%,0.6%,R$ 93.303.066,R$ 12.638.197.028,R$ 12.638.197.028,10.0,
,53.0,Aave  AAVE,Comprar,"R$ 809,17",0.8%,9.3%,8.4%,22.3%,R$ 2.266.282.008,R$ 12.215.626.618,R$ 12.945.010.230,94.0,
,54.0,Bittensor  TAO,Comprar,"R$ 1.395,94",2.2%,22.4%,16.3%,1.9%,R$ 1.105.155.764,R$ 11.991.861.842,R$ 29.345.286.371,41.0,
,55.0,Cosmos Hub  ATOM,Comprar,"R$ 25,87",0.8%,4.4%,2.1%,19.2%,R$ 944.484.026,R$ 11.519.276.919,R$ 11.519.437.028,10.0,
,56.0,VeChain  VET,,"R$ 0,1276",1.1%,8.3%,1.9%,7.7%,R$ 414.039.182,R$ 10.995.121.519,R$ 10.995.121.519,10.0,
,57.0,Render  RENDER,,"R$ 20,10",1.4%,17.4%,7.9%,17.8%,R$ 2.189.491.490,R$ 10.433.671.003,R$ 10.731.136.440,97.0,
,58.0,First Digital USD  FDUSD,,"R$ 5,87",0.1%,0.1%,0.6%,0.1%,R$ 20.461.604.941,R$ 10.427.441.995,R$ 10.427.441.995,10.0,
,59.0,Kaspa  KAS,Comprar,"R$ 0,3975",1.9%,13.3%,9.3%,9.1%,R$ 660.786.130,R$ 10.357.991.194,R$ 10.361.262.842,10.0,
,60.0,Fasttoken  FTN,,"R$ 23,62",0.0%,0.0%,0.2%,1.1%,R$ 292.529.211,R$ 10.159.156.258,R$ 20.563.920.714,49.0,
,61.0,Lombard Staked BTC  LBTC,,R$ 479.584,0.5%,7.1%,1.4%,0.2%,R$ 123.524.312,R$ 10.150.657.734,R$ 10.150.657.734,10.0,
,62.0,Ethena  ENA,,"R$ 1,77",1.7%,7.8%,1.5%,25.6%,R$ 1.417.149.293,R$ 9.854.788.758,R$ 26.619.575.710,37.0,
,63.0,Official Trump  TRUMP,,"R$ 47,28",1.3%,8.1%,10.1%,23.0%,R$ 4.023.273.387,R$ 9.463.801.892,R$ 47.319.014.989,2.0,
,64.0,POL (ex-MATIC)  POL,,"R$ 1,06",1.0%,7.8%,0.8%,14.3%,R$ 550.184.140,R$ 9.184.957.646,R$ 11.039.363.384,83.0,
,65.0,Filecoin  FIL,,"R$ 14,05",0.8%,4.0%,10.6%,10.9%,R$ 1.007.324.631,R$ 9.111.986.546,R$ 27.540.868.702,33.0,
,66.0,Algorand  ALGO,Comprar,"R$ 1,05",1.8%,14.2%,2.9%,7.5%,R$ 779.040.614,R$ 8.990.973.445,R$ 8.991.013.106,10.0,
,67.0,Celestia  TIA,Comprar,"R$ 15,03",1.7%,12.8%,6.6%,13.5%,R$ 648.748.999,R$ 8.907.124.839,R$ 16.743.798.048,53.0,
,68.0,Sonic (prev. FTM)  S,,"R$ 2,79",2.1%,19.4%,6.4%,10.1%,R$ 1.641.147.073,R$ 8.854.506.837,R$ 8.854.506.837,10.0,
,69.0,Arbitrum  ARB,Comprar,"R$ 1,68",1.8%,6.8%,4.6%,13.7%,R$ 1.216.516.280,R$ 7.767.181.300,R$ 16.819.677.494,46.0,
,70.0,Solv Protocol SolvBTC  SOLVBTC,,R$ 479.640,0.2%,7.5%,1.0%,0.2%,R$ 27.069.425,R$ 7.618.017.394,R$ 7.618.017.394,10.0,
,71.0,KuCoin  KCS,,"R$ 60,55",0.2%,11.2%,0.0%,5.8%,R$ 744.466,R$ 7.545.301.644,R$ 8.601.272.866,88.0,
,72.0,Jupiter Perpetuals Liquidity Provider Token  JLP,,"R$ 20,94",0.3%,5.6%,0.5%,2.6%,R$ 266.919.619,R$ 7.533.938.840,R$ 7.528.674.510,10.0,
,73.0,Maker  MKR,Comprar,"R$ 7.881,94",1.1%,9.6%,6.6%,19.8%,R$ 1.079.134.877,R$ 6.657.979.178,R$ 6.863.333.983,97.0,
,74.0,Artificial Superintelligence Alliance  FET,,"R$ 2,50",1.1%,10.6%,0.4%,9.3%,R$ 971.284.328,R$ 6.512.954.747,R$ 6.786.815.090,96.0,
,75.0,Story  IP,,"R$ 24,60",0.2%,0.4%,1.0%,20.3%,R$ 560.199.360,R$ 6.395.821.441,R$ 24.706.852.402,26.0,
,76.0,Optimism  OP,Comprar,"R$ 3,83",1.2%,9.6%,3.2%,20.9%,R$ 884.106.136,R$ 6.352.342.718,R$ 16.464.161.607,39.0,
,77.0,XDC Network  XDC,,"R$ 0,3902",0.3%,5.5%,2.0%,0.8%,R$ 265.136.089,R$ 6.129.344.227,R$ 14.828.487.631,41.0,
,78.0,Jupiter  JUP,,"R$ 2,15",1.2%,7.7%,0.4%,27.3%,R$ 504.871.815,R$ 6.118.717.187,R$ 15.058.057.070,41.0,
,79.0,USDT0  USDT0,,"R$ 5,87",0.2%,0.3%,0.1%,0.2%,R$ 962.642.958,R$ 5.898.066.370,R$ 5.898.066.370,10.0,
,80.0,EOS  EOS,Comprar,"R$ 3,87",0.5%,0.3%,16.0%,39.6%,R$ 1.390.752.604,R$ 5.873.826.975,R$ 8.131.816.341,72.0,
,81.0,NEXO  NEXO,,"R$ 5,87",1.0%,7.0%,2.8%,1.6%,R$ 102.503.756,R$ 5.870.803.265,R$ 5.870.803.265,10.0,
,82.0,Binance-Peg WETH  WETH,,"R$ 9.378,27",0.7%,10.0%,10.8%,15.9%,R$ 322.263.390,R$ 5.688.555.833,R$ 5.688.555.833,10.0,
,83.0,Binance Staked SOL  BNSOL,,"R$ 702,52",0.8%,11.5%,0.5%,7.3%,R$ 22.835.865,R$ 5.597.568.551,R$ 5.597.568.551,10.0,
,84.0,Quant  QNT,Comprar,"R$ 380,07",1.0%,5.8%,2.2%,11.1%,R$ 251.667.659,R$ 5.535.721.748,R$ 5.561.724.114,10.0,
,85.0,Kelp DAO Restaked ETH  RSETH,,"R$ 9.772,70",0.9%,10.8%,10.6%,16.0%,R$ 10.701.705,R$ 5.487.891.753,R$ 5.488.078.072,10.0,
,86.0,Stacks  STX,Comprar,"R$ 3,54",1.0%,10.0%,6.5%,0.5%,R$ 274.473.166,R$ 5.392.894.270,R$ 5.392.933.275,10.0,
,87.0,Flare  FLR,Comprar,"R$ 0,084",0.7%,27.1%,9.6%,5.7%,R$ 317.234.705,R$ 5.282.982.795,R$ 8.666.414.729,61.0,
,88.0,DeXe  DEXE,,"R$ 92,43",0.2%,0.9%,4.7%,8.8%,R$ 84.258.949,R$ 5.279.656.898,R$ 8.922.548.071,59.0,
,89.0,Worldcoin  WLD,,"R$ 4,19",1.3%,14.3%,1.7%,10.5%,R$ 1.047.829.496,R$ 5.225.112.148,R$ 41.962.535.429,12.0,
,90.0,Binance Bridged USDC (BNB Smart Chain)  USDC,Comprar,"R$ 5,86",0.1%,0.1%,0.1%,0.2%,R$ 223.025.981,R$ 4.979.228.673,R$ 4.979.228.673,10.0,
,91.0,Bonk  BONK,Comprar,"R$ 0,00006323",1.1%,9.7%,0.2%,7.9%,R$ 772.483.960,R$ 4.896.349.462,R$ 5.618.777.520,87.0,
,92.0,Polygon Bridged USDT (Polygon)  USDT,Comprar,"R$ 5,86",0.0%,0.0%,0.0%,0.0%,R$ 207.681.673,R$ 4.712.960.667,R$ 4.713.015.184,10.0,
,93.0,Movement  MOVE,,"R$ 1,90",1.3%,8.1%,17.6%,36.8%,R$ 373.425.638,R$ 4.645.341.316,R$ 18.960.576.799,25.0,
,94.0,PayPal USD  PYUSD,,"R$ 5,86",0.1%,0.0%,0.0%,0.1%,R$ 482.932.027,R$ 4.597.286.429,R$ 4.597.286.429,10.0,
,95.0,Rocket Pool ETH  RETH,,"R$ 10.614,67",1.0%,10.5%,10.7%,15.8%,R$ 135.139.836,R$ 4.577.823.917,R$ 4.578.072.383,10.0,
,96.0,Usual USD  USD0,,"R$ 5,85",0.0%,0.0%,0.1%,0.1%,R$ 114.307.649,R$ 4.552.050.695,R$ 4.552.050.695,10.0,
,97.0,Injective  INJ,Comprar,"R$ 46,36",0.9%,11.7%,3.3%,13.9%,R$ 645.539.224,R$ 4.529.375.465,R$ 4.634.712.263,98.0,
,98.0,Tether Gold  XAUT,,"R$ 18.327,15",0.0%,2.2%,0.2%,7.7%,R$ 223.920.908,R$ 4.517.865.174,R$ 4.517.865.174,10.0,
,99.0,The Graph  GRT,Comprar,"R$ 0,4601",1.4%,8.7%,3.2%,11.6%,R$ 346.207.890,R$ 4.396.577.882,R$ 4.967.287.497,89.0,
,100.0,Sei  SEI,,"R$ 0,8974",1.1%,10.1%,5.3%,20.0%,R$ 569.312.686,R$ 4.379.619.773,R$ 8.970.290.548,49.0,
,101.0,Fartcoin  FARTCOIN,,"R$ 4,32",1.1%,39.6%,97.2%,213.4%,R$ 2.732.219.910,R$ 4.374.833.094,R$ 4.374.833.094,10.0,
,102.0,Theta Network  THETA,Comprar,"R$ 4,34",0.9%,5.3%,3.9%,11.2%,R$ 222.422.502,R$ 4.345.701.969,R$ 4.345.701.969,10.0,
,103.0,Solv Protocol xSolvBTC  XSOLVBTC,,R$ 475.374,0.2%,6.5%,1.3%,0.1%,R$ 2.047.113,R$ 4.255.081.832,R$ 4.255.081.832,10.0,
,104.0,Immutable  IMX,Comprar,"R$ 2,34",0.7%,3.9%,15.4%,20.4%,R$ 292.728.198,R$ 4.190.501.233,R$ 4.674.721.080,9.0,
,105.0,PAX Gold  PAXG,,"R$ 18.393,55",0.0%,2.1%,1.1%,7.7%,R$ 659.518.801,R$ 4.124.039.255,R$ 4.124.039.255,10.0,
,106.0,Wrapped BNB  WBNB,,"R$ 3.388,55",0.3%,4.7%,2.7%,5.0%,R$ 1.464.810.378,R$ 3.990.452.961,R$ 4.007.948.112,10.0,
,107.0,Curve DAO  CRV,,"R$ 3,03",1.6%,12.6%,4.9%,32.9%,R$ 1.642.211.585,R$ 3.984.515.412,R$ 6.800.641.669,59.0,
,108.0,Arbitrum Bridged WBTC (Arbitrum One)  WBTC,Comprar,R$ 480.489,0.2%,6.9%,1.2%,0.7%,R$ 1.353.256.911,R$ 3.877.293.988,R$ 3.877.307.866,10.0,
,109.0,Lido DAO  LDO,,"R$ 4,26",1.1%,11.6%,10.3%,17.0%,R$ 732.069.269,R$ 3.827.093.621,R$ 4.262.379.570,9.0,
,110.0,Stables Labs USDX  USDX,,"R$ 5,86",0.0%,0.1%,0.1%,0.1%,R$ 3.518.805,R$ 3.667.160.750,R$ 3.667.160.750,10.0,
,111.0,The Sandbox  SAND,Comprar,"R$ 1,50",1.1%,7.5%,0.1%,6.1%,R$ 498.913.567,R$ 3.660.645.080,R$ 4.490.015.022,82.0,
,112.0,Mantle Staked Ether  METH,,"R$ 9.953,57",0.5%,10.0%,10.7%,15.9%,R$ 16.787.931,R$ 3.649.437.942,R$ 3.649.438.129,10.0,
,113.0,GALA  GALA,Comprar,"R$ 0,08261",1.5%,10.3%,2.4%,9.0%,R$ 587.127.146,R$ 3.632.759.949,R$ 3.632.763.515,10.0,
,114.0,Walrus  WAL,,"R$ 2,91",4.1%,18.4%,10.5%,-,R$ 799.461.474,R$ 3.622.233.925,R$ 14.488.935.700,25.0,
,115.0,BitTorrent  BTT,,"R$ 0,053541",0.1%,6.8%,4.7%,11.6%,R$ 160.664.184,R$ 3.491.393.686,R$ 3.505.340.186,10.0,
,116.0,Kaia  KAIA,,"R$ 0,5955",0.9%,6.7%,2.3%,1.2%,R$ 161.398.924,R$ 3.486.155.509,R$ 3.486.155.621,10.0,
,117.0,Tezos  XTZ,Comprar,"R$ 3,34",0.5%,1.8%,9.6%,14.8%,R$ 241.620.866,R$ 3.471.704.086,R$ 3.539.339.296,98.0,
,118.0,IOTA  IOTA,Comprar,"R$ 0,9284",1.5%,8.3%,0.7%,9.1%,R$ 186.300.357,R$ 3.446.608.543,R$ 4.275.787.600,81.0,
,119.0,Bitcoin SV  BSV,,"R$ 164,21",1.3%,8.4%,6.7%,11.1%,R$ 161.776.979,R$ 3.265.021.135,R$ 3.265.027.817,10.0,
,120.0,Pendle  PENDLE,,"R$ 19,75",1.4%,13.5%,22.9%,66.7%,R$ 1.246.048.412,R$ 3.196.819.927,R$ 5.566.410.103,57.0,
,121.0,JasmyCoin  JASMY,,"R$ 0,06593",1.5%,10.5%,15.9%,12.7%,R$ 693.484.649,R$ 3.194.604.031,R$ 3.298.847.616,97.0,
,122.0,Flow  FLOW,Comprar,"R$ 2,02",0.9%,6.9%,4.9%,10.1%,R$ 191.043.565,R$ 3.177.431.761,R$ 3.177.431.761,10.0,
,123.0,PancakeSwap  CAKE,,"R$ 10,87",0.6%,5.0%,3.2%,22.2%,R$ 836.302.823,R$ 3.161.838.787,R$ 4.060.177.496,78.0,
,124.0,Jito  JTO,,"R$ 9,87",1.7%,7.5%,15.3%,20.4%,R$ 215.055.134,R$ 3.106.259.460,R$ 9.865.500.070,31.0,
,125.0,Honey  HONEY,,"R$ 5,86",0.1%,0.0%,0.0%,0.1%,R$ 220.978.106,R$ 3.090.450.797,R$ 3.090.450.797,10.0,
,126.0,Marinade Staked SOL  MSOL,,"R$ 862,78",0.6%,10.9%,0.6%,7.4%,R$ 81.533.728,R$ 3.074.482.998,R$ 3.074.517.584,10.0,
,127.0,Zcash  ZEC,Comprar,"R$ 190,18",1.0%,7.8%,17.2%,7.2%,R$ 603.267.716,R$ 3.037.594.017,R$ 3.037.870.862,10.0,
,128.0,FLOKI  FLOKI,Comprar,"R$ 0,0003113",1.0%,8.5%,1.6%,10.7%,R$ 683.767.525,R$ 3.012.080.366,R$ 3.116.801.693,97.0,
,129.0,Renzo Restaked ETH  EZETH,,"R$ 9.763,48",0.6%,9.8%,10.8%,16.2%,R$ 22.423.275,R$ 2.954.658.015,R$ 2.954.658.015,10.0,
,130.0,Raydium  RAY,,"R$ 10,02",1.4%,10.7%,0.8%,9.2%,R$ 591.106.985,R$ 2.914.088.366,R$ 5.561.339.416,52.0,
,131.0,TrueUSD  TUSD,,"R$ 5,84",0.1%,0.1%,0.1%,0.0%,R$ 262.753.925,R$ 2.892.628.014,R$ 2.892.628.014,10.0,
,132.0,Helium  HNT,,"R$ 16,06",0.6%,14.1%,1.2%,6.4%,R$ 80.370.534,R$ 2.888.708.096,R$ 3.583.548.074,81.0,
,133.0,Grass  GRASS,,"R$ 10,33",4.9%,15.2%,13.6%,21.6%,R$ 837.739.249,R$ 2.826.441.831,R$ 10.260.226.594,28.0,
,134.0,Sonic Bridged USDC.e (Sonic)  USDC.E,,"R$ 5,86",0.0%,0.1%,0.0%,0.0%,R$ 484.550.865,R$ 2.818.045.327,R$ 2.818.585.722,10.0,
,135.0,Beldex  BDX,,"R$ 0,4041",0.1%,1.4%,1.8%,3.3%,R$ 23.470.791,R$ 2.795.694.871,R$ 4.015.871.504,7.0,
,136.0,Jupiter Staked SOL  JUPSOL,,"R$ 734,13",0.6%,10.3%,1.7%,8.1%,R$ 36.331.943,R$ 2.758.890.685,R$ 2.758.890.685,10.0,
,137.0,Ethereum Name Service  ENS,,"R$ 82,22",1.0%,10.2%,5.5%,15.8%,R$ 364.444.571,R$ 2.728.708.260,R$ 8.227.529.396,33.0,
,138.0,Core  CORE,,"R$ 2,73",0.6%,0.7%,1.5%,20.1%,R$ 289.495.159,R$ 2.726.055.764,R$ 5.731.714.297,48.0,
,139.0,Bridged USDC (Polygon PoS Bridge)  USDC.E,,"R$ 5,86",0.0%,0.0%,0.0%,0.0%,R$ 187.797.267,R$ 2.680.070.297,R$ 2.680.229.502,10.0,
,140.0,Kava  KAVA,Comprar,"R$ 2,46",0.3%,0.4%,2.9%,1.9%,R$ 96.900.115,R$ 2.671.631.873,R$ 2.671.631.873,10.0,
,141.0,pumpBTC  PUMPBTC,,R$ 456.461,2.5%,3.1%,3.1%,1.0%,"R$ 27.341,22",R$ 2.642.766.725,R$ 2.642.766.725,10.0,
,142.0,Pyth Network  PYTH,,"R$ 0,7257",1.5%,6.9%,4.3%,12.7%,R$ 252.887.191,R$ 2.632.127.869,R$ 7.261.064.860,36.0,
,143.0,Onyxcoin  XCN,,"R$ 0,07735",8.4%,53.9%,50.0%,8.6%,R$ 1.077.329.245,R$ 2.596.854.480,R$ 3.785.345.171,69.0,
,144.0,Ondo US Dollar Yield  USDY,,"R$ 6,48",0.5%,0.5%,0.7%,1.6%,R$ 31.401.131,R$ 2.563.474.334,R$ 3.487.333.146,74.0,
,145.0,Telcoin  TEL,,"R$ 0,02769",2.7%,19.5%,6.2%,17.7%,R$ 50.622.803,R$ 2.530.414.324,R$ 2.753.453.213,92.0,
,146.0,SPX6900  SPX,,"R$ 2,67",1.1%,15.7%,7.3%,61.0%,R$ 415.365.931,R$ 2.529.236.770,R$ 2.529.236.770,10.0,
,147.0,Reserve Rights  RSR,,"R$ 0,04473",1.6%,20.8%,18.9%,49.5%,R$ 369.061.576,R$ 2.521.661.772,R$ 4.470.121.071,56.0,
,148.0,Berachain  BERA,,"R$ 23,07",2.3%,15.7%,36.5%,32.0%,R$ 2.366.320.975,R$ 2.491.409.373,R$ 11.547.195.722,22.0,
,149.0,Decentraland  MANA,Comprar,"R$ 1,33",0.9%,7.2%,2.5%,10.9%,R$ 329.130.562,R$ 2.481.696.452,R$ 2.913.727.126,85.0,
,150.0,Avalanche Bridged BTC (Avalanche)  BTC.B,,R$ 479.982,0.2%,7.4%,1.3%,0.4%,R$ 165.855.130,R$ 2.453.957.496,R$ 2.453.966.445,10.0,
,151.0,dYdX  DYDX,,"R$ 3,20",1.5%,6.8%,8.5%,2.4%,R$ 140.714.138,R$ 2.449.584.973,R$ 2.818.980.656,87.0,
,152.0,APENFT  NFT,,"R$ 0,052462",0.4%,5.1%,1.4%,5.4%,R$ 198.612.319,R$ 2.436.265.858,R$ 2.460.587.327,99.0,
,153.0,clBTC  CLBTC,,R$ 479.908,0.4%,7.2%,1.4%,0.1%,"R$ 218,74",R$ 2.401.282.018,R$ 2.401.282.018,10.0,
,154.0,Saros  SAROS,,"R$ 0,9079",31.4%,2.7%,26.1%,541.1%,R$ 115.019.105,R$ 2.383.564.948,R$ 9.080.248.022,26.0,
,155.0,Hashnote USYC  USYC,,"R$ 6,34",0.0%,0.0%,3.3%,1.2%,"R$ 1.985,61",R$ 2.382.248.312,R$ 2.382.248.312,10.0,
,156.0,OUSG  OUSG,,"R$ 648,50",0.0%,0.0%,0.1%,0.3%,"R$ 0,00",R$ 2.377.150.278,R$ 2.377.150.278,10.0,
,157.0,USDB  USDB,,"R$ 5,86",0.7%,0.0%,0.4%,0.2%,R$ 17.557.755,R$ 2.375.282.164,R$ 2.375.282.164,10.0,
